ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.03.13.04,Tamia,city,Europe,EU01,,Omega,25.0,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.13.05,Pinnata Castra*,city,Europe,EU01,,Omega,27.25,59.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.13.06,Tuesis,city,Europe,EU01,,Omega,26.75,59.1666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.14.02,Orrea,city,Europe,EU01,,Omega,24.0,58.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.15.02,Devana,city,Europe,EU01,,Omega,26.25,59.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.04,Epiacum,city,Europe,EU01,Whitley Castle,Omega,18.5,58.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.05,Vinovia,city,Europe,EU01,Binchester,Omega,17.5,58.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.06,Cataractonium*,city,Europe,EU01,Catterick,Omega,20.0,58.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.07,Calatum (Calagum),city,Europe,EU01,,Omega,19.0,57.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.08,Isurium,city,Europe,EU01,Aldborough,Omega,20.0,57.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.09,Rigodunum,city,Europe,EU01,,Omega,18.0,57.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.16.10,Olicana,city,Europe,EU01,Elslack,Omega,19.0,57.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.17.01,"Eboracum, Legio VI Victrix",city,Europe,EU01,York,Omega,20.0,57.3333333333333,manually verified non-coastal exception despite sea-headed section (_NONCOASTAL_EXCEPTION_SECTIONS),,,,,,,,,,
2.03.17.02,Camulodunum,city,Europe,EU01,,Omega,18.25,57.0,manually verified non-coastal exception despite sea-headed section (_NONCOASTAL_EXCEPTION_SECTIONS),,,,,,,,,,
